"name","address","city","state","zipcode","county","latitude","longitude","adp","month","year","fiscalyear","inspectionmonth","inspectionyear","administrativesegregation","calculatedforce","chemicalforce","detainee_detainee_physassault_noseriousinj","detainee_detainee_physassault_seriousinj","detainee_staff_physassault_noseriousinj","detainee_staff_physassault_seriousinj","disciplinaryappeals","disciplinaryappeals_detaineefavor","disciplinaryinfractions","disciplinaryinfractions_guilty","disciplinarysegregation","force_seriousinjury","hungerstrikes","immediateforce","infectiousdiseasesconfirmed","infectiousdiseasesreported","medicalobservation","medicalsegregation","mentalhealthobservation","mentalhealthsegregation","nonlethalweaponsincidents","offsiteemergencycare","offsitemedicalcare","offsitementalhealthcare","outsidemedicalreferrals","pointrestraints","sanctionsover60days","sexual_detaineedetainee","sexual_detaineedetainee_sub","sexual_detaineeinmate","sexual_detaineeinmate_sub","sexual_detaineestaff","sexual_detaineestaff_sub","sexual_inmatedetainee","sexual_inmatedetainee_sub","sexual_staffdetainee","sexual_staffdetainee_sub","sickcallencounters","sickcallrequests","stripsearches","suicideattempts","suicideconstantmentalhealthwatch","disciplinary_filed","disciplinary_sub","food_filed","food_sub","force_filed","force_sub","library_filed","library_sub","mail_filed","mail_sub","medical_filed","medical_sub","other_filed","other_sub","prop_filed","prop_sub","safety_filed","safety_sub","sanitation_filed","sanitation_sub","sexualassault_sub","sexualassult_filed","solitary_filed","solitary_sub","staffconduct_filed","staffconduct_sub","visitation_filed","visitation_sub"
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,40.804560261,8,2019,2019,11,2019,2,0,0,5,0,0,0,0,0,12,12,12,0,5,0,1,0,9,0,1,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,307,307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,944.520184426171,1,2020,2020,12,2020,9,0,0,4,0,0,0,0,0,7,7,7,0,0,0,15,15,12,2,2,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,393,410,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,449.229188535,9,2019,2019,11,2019,3,1,1,3,0,0,0,1,0,9,9,9,0,0,0,0,0,9,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,269.053698074322,1,2021,2021,12,2021,45,0,0,2,0,0,0,0,0,4,4,4,0,0,0,7,3,4,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,177,177,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,776.18667034025,11,2020,2021,12,2020,27,0,0,0,0,0,0,0,0,2,2,2,0,1,0,12,12,7,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,161,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,1035.99376316594,9,2021,2021,12,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,21,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,219,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,,7,2019,2019,11,2019,2,0,0,2,0,0,0,0,0,9,9,9,0,0,0,1,0,7,0,1,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,175,175,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,656.498329906787,8,2020,2020,12,2020,61,0,0,1,0,0,0,0,0,8,8,7,0,0,0,36,36,22,42,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,586,591,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,1724.0553608664,4,2019,2019,11,2019,21,1,1,10,0,0,0,1,0,25,23,25,0,0,3,4,4,34,4,64,0,0,30,18,12,450,0,0,3,0,0,0,1,0,0,0,0,0,3194,3136,0,2,16,1,0,3,3,0,0,1,1,0,0,5,3,4,0,1,1,0,0,0,0,0,1,1,0,7,0,0,0
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,1127.72945947485,11,2020,2021,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,79,79,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
